Neighborhood,District,Latitude,Longitude
Broadview,North Seattle,47.72238,-122.36498
Bitter Lake,North Seattle,47.71868,-122.3503
North Beach / Blue Ridge,North Seattle,47.70044,-122.38418
Crown Hill,North Seattle,47.6952,-122.3741
Greenwood,North Seattle,47.69082,-122.35529
Northgate,North Seattle,47.7131,-122.3193
Haller Lake,"Northgate, North Seattle",47.7232,-122.3387
Pinehurst,"Northgate, North Seattle",47.71894,-122.314
"North College Park
(Licton Springs)","Northgate, North Seattle",47.69914,-122.33968
Maple Leaf,"Northgate, North Seattle",47.70013,-122.31765
Cedar Park,"Lake City, North Seattle",47.72645,-122.28801
Matthews Beach,"Lake City, North Seattle",47.69934,-122.27835
Meadowbrook,"Lake City, North Seattle",47.70841,-122.29586
Olympic Hills,"Lake City, North Seattle",47.72656,-122.3026
Victory Heights,"Lake City, North Seattle",47.7103,-122.3072
Wedgwood,North Seattle,47.68701,-122.29494
View Ridge,North Seattle,47.68033,-122.2729
Sandpoint,North Seattle,47.68212,-122.26081
Roosevelt,North Seattle,47.68156,-122.31676
Ravenna,North Seattle,47.67393,-122.29914
Bryant,North Seattle,47.67579,-122.28734
Wallingord,North Seattle,47.661299,-122.336695
Hawthorne Hills,"Windermere, North Seattle",47.549278,-122.2617289
Laurelhurst,North Seattle,47.66398,-122.27582
University District,North Seattle,47.66127,-122.31307
Ravenna,North Seattle,47.66428,-122.29853
Wallingford,North Seattle,47.65503302,-122.3208142
Green Lake,North Seattle,47.68508,-122.33232
Fremont,North Seattle,47.66137,-122.35608
Phinney Ridge,North Seattle,47.67596,-122.35436
West Woodland,"South Ballard, North Seattle",47.66637,-122.36619
Whittier Heights,"North Ballard, North Seattle",47.68451,-122.37144
Adams,"South Ballard, North Seattle",47.67297,-122.3876
Sunset Hill,"North Ballard, North Seattle",47.67587,-122.39689
Loyal Heights,"North Ballard, North Seattle",47.68393,-122.38431
Lawton Park,"Magnolia, Central Seattle",47.65908,-122.40092
Briarcliff,"Magnolia, Central Seattle",47.645,-122.40774
Southeast Magnolia,"Magnolia, Central Seattle",47.64117,-122.39177
Interbay,Central Seattle,47.65399,-122.37969
North Queen Anne,"Queen Anne, Central Seattle",47.64586,-122.3684
East Queen Anne,"Queen Anne, Central Seattle",47.63824,-122.35022
Lower Queen Anne,"Queen Anne, Central Seattle",47.62459,-122.35757
West Queen Anne,"Queen Anne, Central Seattle",47.63592,-122.36438
Portage Bay,"Capitol Hill, Central Seattle",47.6469,-122.32028
Broadway,"Capitol Hill, Central Seattle",47.62496,-122.32092
Pike-Pine Corridor / Pike/Pine,"Capitol Hill / Broadway, Central Seattle",47.613881,-122.320634
Montlake,"Capitol Hill, Central Seattle",47.64085,-122.30207
Stevens,"Capitol Hill, Central Seattle",47.62687,-122.30716
Interlaken,"Capitol Hill / Stevens, Central Seattle",47.64059197,-122.3154714
Madison Valley,"Capitol Hill / Stevens, Central Seattle",47.623421,-122.297642
Renton Hill,"Capitol Hill / Stevens, Central Seattle",47.49706279,-122.2461695
Broadmoor,"Madison Park, Capitol Hill, Central Seattle",47.63282,-122.28827
Miller Park,"Capitol Hill, Central Seattle",47.621283,-122.304955
South Lake Union,"Lake Union, Central Seattle",47.61852,-122.34344
Westlake,"Lake Union, Central Seattle",47.63297,-122.34173
Eastlake,"Lake Union, Central Seattle",47.641814,-122.326395
Denny Triangle,"Downtown, Central Seattle",47.6166,-122.33778
Belltown,"Downtown, Central Seattle",47.61576,-122.34464
Pike-Market,"Downtown, Central Seattle",47.61085,-122.34223
Central Business District,"Downtown, Central Seattle",47.60553,-122.33432
First Hill,"Downtown, Central Seattle",47.60878,-122.32643
Pioneer Square,"Downtown, Central Seattle",47.5983,-122.33429
International District,"Downtown, Central Seattle",47.59582,-122.32474
Yesler Terrace,"Downtown, Central Seattle",47.60155,-122.31409
Central Waterfront,"Downtown, Central Seattle",47.60877,-122.34308
West Edge,"Downtown, Central Seattle",47.69080656,-122.3948799
Mann,Central Seattle,47.61295,-122.29951
Cherry Hill & Squire Park,"Minor, Central Seattle",47.608162,-122.309302
Judkins Park,"Atlantic, Central Seatle",47.59427,-122.30401
Madrona Valley,"Madrona, Central Seattle",47.73962986,-122.3702593
Washington Park,"Harrison/Denny-Blaine, Central Seattle",47.6281,-122.28824
Leschi,Central Seattle,47.6015,-122.29134
Mount Baker,"Rainier Valley, South Seattle",47.57827,-122.28782
Columbia City,"Rainier Valley, South Seattle",47.55687,-122.28452
Hillman City,"Rainier Valley, South Seattle",47.62049,-122.35103
Brighton,"Rainier Valley, South Seattle",47.53699,-122.27514
Dunlap / Othello,"Rainier Valley, South Seattle",47.5278,-122.26999
Rainier Beach / Atlantic City Beach,"Rainier Valley, South Seattle",47.57870739,-122.2984476
Rainier View / Lakeridge,"Rainier Valley, South Seattle",47.50256,-122.26276
Lakewood,"Seward Park, South Seattle",47.57413924,-122.2822046
North Beacon Hill,"Beacon Hill, South Seattle",47.57874,-122.30866
Mid Beacon Hill (Maplewood),"Beacon Hill, South Seattle",47.55379,-122.30346
